artist_id,album_id
2gPPSXEHHGnXlvQIkSsmNZ,6pxtGyClaSSI1t4ovmtmql
4if1U9RYhAJN9msYzpsfwh,0yo31oAAkYb0nsAaBF3a5K
3nycbratn635lEgmJ86d2g,65WjdiGmApUx7W3PoRRQyN
0i844chFossGGUOxDGzWoh,1tVjYwypLhWt9rXfo8OZzO
5mYW5ZOpkvIcoET8B6Y1Fi,4TNIvvOn46vzByaDALp0fp
3vqDGJZExNxA903EFYIvrL,2cxoNSbXXqPOSJhdu07tfs
6KmyeVxismFs1zdXbTxoWM,5J4mEIFWHyX4QBl5Sn5Iva
2OWBfxGoj5GhipuZ1cKnmB,0pKrmITajTMvaNNdpNtwDO
3s4QalxVf7tJzEqwuK4OA7,3lj2Ppfb6YdZOA7jnQa5b6
0ERY1Fy3aNw7QZLKfKm81h,52QAEcKdvSS8JbHj0TDHSv
2wlTl7AyP0icYtAsmPylw6,28GxeRP74uhZxTewnIZuyd
3NmdKZUM96z7NGvL35g5PC,6TG1aHe28AYhQKbZSNteQ7
6CxVUQTZlPeepRHOzmPC6W,3x0QvXBhPigYVIx0KXHo3U
2aoFQUeHD1U7pL098lRsDU,5GitFcIJajt0bEZ1JXZbou
2NJ32z43Sg85AOq3w7npBB,3MuUsOxZToZxScFTEbMrMZ
1EQoqT4VhNDHDsdBYdxrgx,6eMQpDyQakSqIiD3MNchk5
5aHhYVjeg8RUrnqH9wyXhM,74SNQwXqkucNyK7Ow463C8
69MEO1AADKg1IZrq2XLzo5,30yEwgpAvxeVE7Kpn8UPd4
1wxBizLxYol7aVhHX2TD7l,7v7kVZUbo0O5kzBR7Q6bjA
5Ezf26FDCgGGQo74XkL0zP,0bjxjMiT6IGkoI6OT0h1Q0
1eyiZt1K5QvOCTTJbnLPRx,1DX2QaUZNxoA0DRJcWIYrD
2oAUWVDrNRE76jqj9IkVK6,1NoPJTlayWYaExL9pJh2Nn
4pvjFK7djN0Ha9CFj2MSLE,3acndfQSxvKeaZevJk5m3c
5h7b6M62frh97O68HEneX1,76VOa3oBpmZSjP71nlwiQc
2VDbJWofYewiV8YlzoWj64,6G5idTXyrVFltQGS8KbNld
6jrhwgDm1EcvFgDJoo8eY1,2E8oqn3YNrSe18e388cNyx
0wWCe8Q5y9Xh3WPDkPTr3q,5V9wJh2nhaB5tKjc2ADFLC
1nyLruD8hfCyxYOh4VW7Hl,2t0uVdEkSNbLqU9iEkgXGQ
4Vn6axeFKEaPRH1sI7JVKj,4R9DCImB7yErtkRg1UgxKu
2n1VtxlAkbmKYpttMkyPL4,1s0s3uUaU5CVFAYU17ZAuR
51mykYdNBQ2tiCotVq0oMN,0KwfRvLGwOXmU2RQ3Or1yy
7KkV7dFoGEXr4M3fpb1FgD,3LWczm1LsxHkH21C3OgbmJ
2uH0RyPcX7fnCcT90HFDQX,2xAmCU4FBfYeqsTKqwd5Gn
1FmDhIqqhQQnweCIpy7hLr,6TwO6LQS41fnz4JksxQcMx
2JXDwIo5HsiwTcTPQytrZ8,7szC37xATPf0varQbiyY84
3PU8Ju4WBYNY5xvJE3DMfV,1JaFEuvDzQUPbOg9tnCkMO
5QQJG9gE8bfjHBAUmY9YvU,6uhGz8q041yeLAnYBjcaa9
4WB32sqN839h5BEYYXTeNE,6cEBaXlCoCuf7iuVYdWyMl
5Bcrb5qQMVTEbJ43fdIS4A,1BRdOtbIYuVhqTFZh1yXu5
10CN8N2O3FlGlPVJWBiu5D,7iJkPl9tZ8tM0EiRFOVLRp
31MZ4H71BYhKlPT6OkcLR2,6Q2xOguVT4bGBWdwL8ZvOZ
2827XOUsEosrxxYdNhyC5h,0ze7DjjhLKT4IU8IdpkP18
2yu3SWTzbVW04uIxegRzkP,5ev8FeVqoTMVA4nzJ3HiX6
3q4lkJBQDPwgWC1rkfxXLv,4R9DCImB7yErtkRg1UgxKu
4pXW1cANcBgMaLvVwCfsMe,3YHRVQOHWY8eHK3gOCUab7
185eYCDKYkW1d9DE0QKpaK,5V6VcrTTutvvWs8r1qccIG
28blVumpkcCtoeEgK09zGf,1lfnLfnEKqYOf4hkXorqav
72ZTAN34Ixm4HXlZslaDum,1c9Zuj8Po544CaGLittjAv
7nzMXY0K10SnoBEejvI7cc,18UhQpTwwBqJ0S02XAycoK
1Lbe0aOyGPpQEwAGJzXPdI,54pi5L7p8oxeiMEOZaH8IL
3KJr0fnP4xoBgYxCzzfs3J,78VFUOemjGSfweLLuCFl9q
2ffVsiEYflmvLXNjPm6g5s,4yXOzFkpUx2XuoGboHs26X
7eqKw49xqL4O5rSRGnUJBX,1vU1r8EpcqRfnMBGWH1ABi
0V4z48Xti8NH6JSThYmRXW,3gS9uWJF5viChO75dAkWXE
6BzavyTzDQTYXTcdzY3Wni,75vR10fepcXNPN3BPFEfdD
4HyePwt8gMte15WjBxCOsH,5PelKBkFXT3AOTqMKlYoCb
4XX4lP5dBO0S5lFAMN8Yxj,36amfovk8KvLHK4X1Suz7e
5jmBDI1Olt4LNNumadlVts,0LFzPh4fxMlcXWm4GZVVPW
4tiFScdzVOm0kGSq4d0l2K,2TuIOMNI7T7PhwPhGkmihU
